paper_key	doi	oa_url	sha256	n_chars
10.48550_arxiv.2411.06186	10.48550/arxiv.2411.06186	https://arxiv.org/pdf/2411.06186	8f25bcef3d1bb16d598216a558e173a7a5a62bd13a611cd68e825dede35912df	67731
10.48550_arxiv.2412.16857	10.48550/arxiv.2412.16857	https://arxiv.org/pdf/2412.16857	76dee5b4385a5693ff0bab9ae2ea9e092fe4ebbc26723edd7c98897af2c0889f	46157
10.48550_arxiv.2503.04035	10.48550/arxiv.2503.04035	https://arxiv.org/pdf/2503.04035	477d8d95cca2523008e812247a0fa18accf69a550c872d2384f1dbf453d24827	36738
10.48550_arxiv.2507.17247	10.48550/arxiv.2507.17247	https://arxiv.org/pdf/2507.17247	b1a5c8473c8352175e89fc6e12ac2ec28d120db890fa986243242b43599caf58	38313
10.48550_arxiv.2508.00704	10.48550/arxiv.2508.00704	https://arxiv.org/pdf/2508.00704	adcc8571ef4a6724e2c467c2acc347ceccd0749ba20ddbeec14b802effc9a471	38625
10.48550_arxiv.2510.13107	10.48550/arxiv.2510.13107	https://arxiv.org/pdf/2510.13107	f78d39d4e67a16c6afe96ac32a485305ba9ad0c42d896d8c6bc0f2d0460f045e	42180
10.56042_ijc.v63i9.10558	10.56042/ijc.v63i9.10558	https://or.niscpr.res.in/index.php/IJC/article/download/10558/3412	3d559b97d91c50f5defbc5ec9180f09747d5d30bc293ed007270f89215f7b1c2	16384
10.7498_aps.70.20201939	10.7498/aps.70.20201939	https://wulixb.iphy.ac.cn/pdf-content/10.7498/aps.70.20201939.pdf	a53e952acbd22ea8b608b51189da18e2ab1ab68a5898cfc0d09d25191face6fa	22224
W7162894181			0de55542f7bb47e47b2d42f74845f2a37e9fb57f8e80fa0c19d7e757808a4487	38310
W7169923838			841a4ddb000c264d456c0eef0517d8bf58425c5c782ba6acf9b271561e712d06	47296
